prefix_name,ir_fina_name,result_name,source
O_MEDI,IR_FINA,UE_FINA,user-confirmed
T_MEDI,IR_FINA,T_FINA,user-confirmed
D_MEDI,IR_FINA,D_FINA,user-confirmed
CH_MEDI,IR_FINA,CH_FINA,user-confirmed
J_MEDI,IR_FINA,J_FINA,user-confirmed
W_MEDI,IR_FINA,W_FINA,user-confirmed
C_MEDI,IR_FINA,C_FINA,user-confirmed
Z_MEDI,IR_FINA,Z_FINA,user-confirmed
HR_MEDI,IR_FINA,HR_FINA,user-confirmed
RH_MEDI,IR_FINA,RH_FINA,user-confirmed
B_I_INIT,IR_FINA,B_I_ISOL,user-confirmed
B_I_MEDI,IR_FINA,B_I_FINA,user-confirmed
B_O_INIT,IR_FINA,B_UE_ISOL,user-confirmed
B_O_MEDI,IR_FINA,B_UE_FINA,user-confirmed
P_I_INIT,IR_FINA,P_I_ISOL,user-confirmed
P_I_MEDI,IR_FINA,P_I_FINA,user-confirmed
P_O_INIT,IR_FINA,P_UE_ISOL,user-confirmed
P_O_MEDI,IR_FINA,P_UE_FINA,user-confirmed
G_I_INIT,IR_FINA,G_I_ISOL,user-confirmed
G_I_MEDI,IR_FINA,G_I_FINA,user-confirmed
G_O_I_INIT,IR_FINA,G_UE_ISOL,user-confirmed
G_O_MEDI,IR_FINA,G_UE_FINA,user-confirmed
F_I_INIT,IR_FINA,F_I_ISOL,user-confirmed
F_I_MEDI,IR_FINA,F_I_FINA,user-confirmed
F_O_INIT,IR_FINA,F_UE_ISOL,user-confirmed
F_O_MEDI,IR_FINA,F_UE_FINA,user-confirmed
K_I_INIT,IR_FINA,K_I_ISOL,user-confirmed
K_I_MEDI,IR_FINA,K_I_FINA,user-confirmed
K_O_INIT,IR_FINA,K_UE_ISOL,user-confirmed
K_O_MEDI,IR_FINA,K_UE_FINA,user-confirmed
