id,unit,position,glyph
A:isol,A,isol,
A:init,A,init,
A:medi,A,medi,
A:fina,A,fina,
Aa:isol,Aa,isol,
Aa:fina,Aa,fina,
B:init,B,init,
B:medi,B,medi,
B:fina,B,fina,
B2:fina,B2,fina,
C:init,C,init,
C:medi,C,medi,
C:fina,C,fina,
Ch:init,Ch,init,
Ch:medi,Ch,medi,
Ch:fina,Ch,fina,
Cr:init,Cr,init,
D:init,D,init,
D:medi,D,medi,
D:fina,D,fina,
Dd:medi,Dd,medi,
Dd:fina,Dd,fina,
F:init,F,init,
F:medi,F,medi,
F:fina,F,fina,
G:init,G,init,
G:medi,G,medi,
G:fina,G,fina,
Gx:init,Gx,init,
Gx:medi,Gx,medi,
H:init,H,init,
H:medi,H,medi,
H:fina,H,fina,
Hr:medi,Hr,medi,
Hr:fina,Hr,fina,
Hx:init,Hx,init,
Hx:medi,Hx,medi,
Hx:fina,Hx,fina,
I:isol,I,isol,
I:init,I,init,
I:medi,I,medi,
I:fina,I,fina,
Ix:isol,Ix,isol,
J:medi,J,medi,
J:fina,J,fina,
K:init,K,init,
K:medi,K,medi,
K:fina,K,fina,
K2:init,K2,init,
K2:medi,K2,medi,
K2:fina,K2,fina,
L:init,L,init,
L:medi,L,medi,
L:fina,L,fina,
M:init,M,init,
M:medi,M,medi,
M:fina,M,fina,
N:init,N,init,
N:medi,N,medi,
N:fina,N,fina,
O:init,O,init,
O:medi,O,medi,
O:fina,O,fina,
P:init,P,init,
P:medi,P,medi,
P:fina,P,fina,
R:init,R,init,
R:medi,R,medi,
R:fina,R,fina,
Rh:init,Rh,init,
Rh:medi,Rh,medi,
Rh:fina,Rh,fina,
S:init,S,init,
S:medi,S,medi,
S:fina,S,fina,
Sh:init,Sh,init,
Sh:medi,Sh,medi,
Sh:fina,Sh,fina,
Sz:fina,Sz,fina,
T:init,T,init,
T:medi,T,medi,
T:fina,T,fina,
U:isol,U,isol,
U:fina,U,fina,
Ue:fina,Ue,fina,
Ux:isol,Ux,isol,
W:init,W,init,
W:medi,W,medi,
W:fina,W,fina,
Y:init,Y,init,
Y:medi,Y,medi,
Z:init,Z,init,
Z:medi,Z,medi,
Z:fina,Z,fina,
Zr:init,Zr,init,
Nirugu,Nirugu,control,᠊
MVS,MVS,control,᠎
