# metadata={"schema":"utn57-zvvnmod-runtime-map-v1","baseline":"sha256:1f0cb6b8b476022726cec5f2a55973b9423ea96d7b8fd79c98b8447cf73b3592"}
id,sources,targets,note
unit:A:isol,A:isol,A_INIT AA_FINA,from target:A:isol; composite glyph sequence; ZVVNMOD writes A:init + Aa:isol identically but that reading is legal-not-conformant UTN (never observed) so this unit is the only reading
unit:A:init,A:init,A_INIT,from source:A_INIT
unit:A:medi,A:medi,A_MEDI,from source:A_MEDI
unit:A:fina,A:fina,A_FINA,from source:A_FINA
unit:Aa:isol,Aa:isol,AA_FINA,from source:AA_FINA
unit:Aa:fina,Aa:fina,A_MEDI AA_FINA,reviewed: the connected Aa final is tooth+swash (context:A_MEDI_AA_FINA); the runtime merges the tooth into the preceding bowed glyph (B_A_INIT AA_FINA); meco-core agrees; target:Aa:fina (bare AA_FINA) not chosen; ZVVNMOD writes A:medi + Aa:isol identically but that reading is legal-not-conformant UTN (never observed) so this unit is the only reading
unit:B:init,B:init,B_INIT,from source:B_INIT
unit:B:medi,B:medi,B_MEDI,from source:B_MEDI
unit:B:fina,B:fina,B_FINA,from source:B_FINA
unit:B2:fina,B2:fina,O_MEDI AA_FINA,from target:B2:fina; composite glyph sequence; ZVVNMOD writes O:medi + Aa:isol identically but that reading is legal-not-conformant UTN (never observed) so this unit is the only reading
unit:C:init,C:init,C_INIT,from source:C_INIT
unit:C:medi,C:medi,C_MEDI,from source:C_MEDI
unit:C:fina,C:fina,C_FINA,from source:C_FINA
unit:Ch:init,Ch:init,CH_INIT,from source:CH_INIT
unit:Ch:medi,Ch:medi,CH_MEDI,from source:CH_MEDI
unit:Ch:fina,Ch:fina,CH_FINA,from source:CH_FINA
unit:Cr:init,Cr:init,O_INIT O_MEDI,from target:Cr:init; composite glyph sequence; ZVVNMOD writes O:init + O:medi identically but that reading is legal-not-conformant UTN (never observed) so this unit is the only reading
unit:D:init,D:init,D_INIT,from source:D_INIT
unit:D:medi,D:medi,D_MEDI,from source:D_MEDI
unit:D:fina,D:fina,D_FINA,from source:D_FINA
unit:Dd:medi,Dd:medi,O_MEDI A_MEDI,from target:Dd:medi; composite glyph sequence; ZVVNMOD writes O:medi + A:medi identically and that reading is conformant UTN (17 witnesses e.g. ᠮᠣᠩᠭᠣᠯ) — reverse conversion emits the shared spelling either way; picking between them is the forward direction's problem
unit:Dd:fina,Dd:fina,O_MEDI A_FINA,from target:Dd:fina; composite glyph sequence; ZVVNMOD writes O:medi + A:fina identically and that reading is conformant UTN (51 witnesses e.g. ᠬᠦᠮᠦᠨ) — reverse conversion emits the shared spelling either way; picking between them is the forward direction's problem
unit:F:init,F:init,F_INIT,from source:F_INIT
unit:F:medi,F:medi,F_MEDI,from source:F_MEDI
unit:F:fina,F:fina,F_FINA,from source:F_FINA
unit:G:init,G:init,G_INIT,from source:G_INIT
unit:G:medi,G:medi,G_MEDI,from source:G_MEDI
unit:G:fina,G:fina,I_MEDI AA_FINA,reviewed: ZVVNMOD writes final g by vowel-harmony class rather than with one G_FINA code — H_FINA (U+E032) for masculine words (ᠴᠠᠭ shapes to H:fina) and this composite for feminine ones (ᠪᠢᠴᠢᠭ) and for final ᠩ (ᠸᠠᠩ); meco-core makes the same split — FROM_DELEHI_CHAGH emits E032 where FROM_DELEHI_HUNDII emits E006 E00D — corroborating both this row and source:H_FINA; from target:G:fina; composite glyph sequence; ZVVNMOD writes I:medi + Aa:isol identically but that reading is legal-not-conformant UTN (never observed) so this unit is the only reading
unit:Gx:init,Gx:init,,reviewed: no ZVVNMOD glyph — no name in the ZVVNMOD inventory mentions Gx at all
unit:Gx:medi,Gx:medi,,reviewed: no ZVVNMOD glyph — no name in the ZVVNMOD inventory mentions Gx at all
unit:H:init,H:init,H_INIT,from source:H_INIT
