# metadata={"schema":"zvvnmod-utn57-runtime-map-v1","baseline":"sha256:83a60c3e1ac9df98a14c1a6d979f7c5c8733f1e70d52b81f41de1dd321ea5016"}
id,sources,targets,note
source:A_INIT,A_INIT,A:init,
source:A_MEDI,A_MEDI,A:medi,
source:A_FINA,A_FINA,A:fina,
source:AA_FINA,AA_FINA,Aa:isol,
source:B_INIT,B_INIT,B:init,
source:B_MEDI,B_MEDI,B:medi,
source:B_FINA,B_FINA,B:fina,
source:C_INIT,C_INIT,C:init,
source:C_MEDI,C_MEDI,C:medi,
source:C_FINA,C_FINA,C:fina,
source:CH_INIT,CH_INIT,Ch:init,
source:CH_MEDI,CH_MEDI,Ch:medi,
source:CH_FINA,CH_FINA,Ch:fina,
source:D_INIT,D_INIT,D:init,
source:D_MEDI,D_MEDI,D:medi,
source:D_FINA,D_FINA,D:fina,
source:F_INIT,F_INIT,F:init,
source:F_MEDI,F_MEDI,F:medi,
source:F_FINA,F_FINA,F:fina,
source:G_INIT,G_INIT,G:init,
source:G_MEDI,G_MEDI,G:medi,
source:H_INIT,H_INIT,H:init,
source:H_FINA,H_FINA,H:fina,
source:HR_MEDI,HR_MEDI,Hr:medi,
source:HR_FINA,HR_FINA,Hr:fina,
source:HX_INIT,HX_INIT,Hx:init,
source:HX_AA_FINA,HX_AA_FINA,Hx:fina MVS Aa:isol,Pinned mongfontbuilder/meco chachlag observation.
source:I_ISOL,I_ISOL,I:isol,
source:I_INIT,I_INIT,I:init,
source:I_MEDI,I_MEDI,I:medi,
source:I_FINA,I_FINA,I:fina,
source:J_MEDI,J_MEDI,J:medi,
source:J_FINA,J_FINA,J:fina,
source:K_INIT,K_INIT,K:init,
source:K_MEDI,K_MEDI,K:medi,
source:K_FINA,K_FINA,K:fina,
source:L_INIT,L_INIT,L:init,
source:L_MEDI,L_MEDI,L:medi,
source:L_FINA,L_FINA,L:fina,
source:M_INIT,M_INIT,M:init,
source:M_MEDI,M_MEDI,M:medi,
source:M_FINA,M_FINA,M:fina,
source:N_INIT,N_INIT,N:init,
source:N_MEDI,N_MEDI,N:medi,
